Id,SalePrice
1461,125119.38711932457
1462,159728.63774554632
1463,178898.51562596727
1464,186620.3419577013
1465,194648.6857370833
1466,173490.7636111218
1467,175340.3488821519
1468,168187.17722240902
1469,179554.6998900632
1470,122955.42205277638
1471,193851.17808590326
1472,92507.76468913183
1473,93912.38183260427
1474,150623.5984642221
1475,121827.28559670741
1476,383205.296622281
1477,254173.36780794998
1478,272978.25675763056
1479,278754.48362272937
1480,490195.2543630017
1481,341692.24771904194
1482,205481.81572122543
1483,172965.81311586796
1484,167862.8648841601
1485,181713.14851265727
1486,193578.54188598262
1487,364106.09039278206
1488,230300.4834304803
1489,202783.65124992817
1490,220548.69915316504
1491,193279.27518715168
1492,90891.0062549732
1493,160333.11058018298
1494,310335.09651339374
1495,291269.87356881204
1496,238173.77041715893
1497,189716.65597405075
1498,163601.74289867806
1499,160550.58681152135
1500,156570.46543813488
1501,181087.07594775097
1502,153878.5608796194
1503,282033.31869423046
1504,243833.7705587977
1505,221727.14868109193
1506,176518.68360400535
1507,250640.06645684975
1508,201292.61708813228
1509,149640.94501928063
1510,143707.1340954168
1511,143489.59229367579
1512,170349.57988641542
1513,142421.4074449357
1514,175793.6097581946
1515,194011.34482985112
1516,148467.07657173194
1517,161316.44298954392
1518,130056.32860492951
1519,221663.5928912497
1520,134002.97349021485
1521,136506.28714556945
1522,170339.3021010744
1523,113189.14614458257
1524,128120.93154425737
1525,125372.46653289827
1526,117344.56493366683
1527,112930.45300264297
1528,128371.69544824035
1529,148405.29097665587
1530,174869.6689637822
1531,110194.19716166488
1532,99151.10549793189
1533,146227.78075215078
1534,119489.87745055894
1535,142470.2708521112
1536,106427.09448667552
1537,62064.73164064863
1538,160021.72085220728
1539,220514.04430531734
1540,92896.4429136191
1541,138902.45932587414
1542,130857.12340890267
1543,193387.83980803317
1544,77076.52327767457
1545,109340.80478541827
1546,134079.75718071565
1547,134785.7063548478
1548,134445.2111901377
1549,109607.29585454048
1550,139325.51108138292
1551,116131.5217749054
1552,133352.8156459978
1553,156049.9613018992
1554,112588.08148140713
1555,168505.82697757392
1556,77122.84688074622
1557,109553.59842372188
1558,98595.72550969159
1559,77118.92441620307
1560,136575.39902870875
1561,155671.21156805905
1562,129859.93777187659
1563,122705.01810040948
1564,158516.87874679943
1565,140990.30499688676
1566,241081.97047119075
1567,66400.50147037614
1568,230852.2225880473
1569,143448.23888471854
1570,139484.29698765778
1571,115432.56726019997
1572,147683.54243335727
1573,218876.28098939557
1574,113286.82839865945
1575,205622.0996748052
1576,238507.71981554525
1577,193402.71950666988
1578,149709.35062742836
1579,140427.82095068396
1580,188216.4518787144
1581,146461.81458533197
1582,130824.78607816745
1583,326278.5225154517
1584,222319.11792177896
1585,141126.25067362151
1586,63117.499742465785
1587,96494.78436152867
1588,145803.655338874
1589,95316.9540994145
1590,138273.9444925092
1591,95481.71560154339
1592,111858.31265603246
1593,131726.92877307718
1594,130273.43484238406
1595,107803.32948885285
1596,238474.19041396194
1597,185872.47987170095
1598,214228.481989044
1599,176787.01064009094
1600,181060.9833309312
1601,63293.33715475773
1602,116674.91266584056
1603,77299.89975294642
1604,278603.60507586045
1605,243450.00748208963
1606,171161.80811261764
1607,175227.15282327912
1608,216469.31131050314
1609,192364.50070444134
1610,142066.5716564981
1611,136935.22271956934
1612,156556.4740994923
1613,153881.73211405153
1614,129845.31588091489
1615,91416.99504641771
1616,72826.2090659928
1617,95019.70418766692
1618,121866.31276795149
1619,140268.65761267528
1620,151517.7640812581
1621,124499.52228009583
1622,137762.95799424362
1623,273510.64021434326
1624,196605.82126805623
1625,121079.3401719132
1626,164049.33790771358
1627,184927.12788533952
1628,272820.164700758
1629,183313.0777115583
1630,382829.1525006427
1631,221805.72929204864
1632,247373.19770264206
1633,165569.1200247356
1634,186621.0437856352
1635,185102.00254952302
1636,156809.21365529875
1637,198063.00251362426
1638,192245.9495166915
1639,176933.81357193014
1640,263936.24753669614
1641,171790.37846715873
1642,227498.6649993298
1643,226519.90228330513
1644,230273.33050958382
1645,205109.65987815085
